epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.233,1.80587,1.78136,1.03871,0.90835,0.0583,0.06243,0.03162,1.6617,1.11694,0.97741,0.000221921,0.000221921,0.000221921
2,611.95,1.67183,1.12113,0.99191,0.27935,0.06484,0.0705,0.036,1.58584,1.02469,0.97162,0.000422264,0.000422264,0.000422264
3,909.456,1.62963,1.05523,0.97894,0.11563,0.06678,0.07352,0.03761,1.56157,0.97548,0.95416,0.000600595,0.000600595,0.000600595
4,1216.33,1.59922,1.01508,0.97399,0.12623,0.07009,0.07713,0.03944,1.53054,0.94629,0.94757,0.00056795,0.00056795,0.00056795
5,1516.32,1.57937,0.98489,0.96607,0.12576,0.0719,0.07981,0.04116,1.50715,0.9495,0.94459,0.000534934,0.000534934,0.000534934
6,1815.55,1.55607,0.96361,0.95988,0.12025,0.07655,0.08032,0.042,1.48264,0.91636,0.93508,0.000501917,0.000501917,0.000501917
7,2114.63,1.54707,0.9518,0.95802,0.14543,0.07513,0.0835,0.04405,1.45473,0.88959,0.9339,0.000468901,0.000468901,0.000468901
8,2412.12,1.53429,0.935,0.95453,0.13803,0.07656,0.08442,0.04438,1.44575,0.86787,0.92963,0.000435884,0.000435884,0.000435884
9,2710.07,1.51668,0.91616,0.9487,0.11621,0.08309,0.0859,0.04451,1.45613,0.86769,0.93073,0.000402868,0.000402868,0.000402868
10,3011.79,1.50508,0.9049,0.94589,0.15242,0.07787,0.08685,0.04561,1.43371,0.84807,0.92583,0.000369851,0.000369851,0.000369851
11,3309.84,1.46949,0.89,0.94796,0.13213,0.08319,0.08827,0.04625,1.42376,0.84949,0.92539,0.000336835,0.000336835,0.000336835
12,3608.73,1.45592,0.87423,0.94153,0.129,0.08408,0.08862,0.04659,1.42108,0.8424,0.92276,0.000303818,0.000303818,0.000303818
13,3906.84,1.44112,0.8574,0.93903,0.13921,0.0824,0.08947,0.04723,1.41775,0.83451,0.92192,0.000270802,0.000270802,0.000270802
14,4206.04,1.43171,0.84588,0.93454,0.12654,0.08673,0.09045,0.04802,1.39486,0.81975,0.91849,0.000237785,0.000237785,0.000237785
15,4502.49,1.42111,0.83412,0.93294,0.1268,0.08805,0.09181,0.04857,1.39938,0.80999,0.91655,0.000204769,0.000204769,0.000204769
16,4800.06,1.41602,0.82853,0.93011,0.12984,0.089,0.09291,0.04906,1.387,0.80184,0.91376,0.000171752,0.000171752,0.000171752
17,5097.63,1.39979,0.81563,0.92902,0.1289,0.09026,0.09379,0.0494,1.37998,0.79601,0.91322,0.000138736,0.000138736,0.000138736
18,5396.9,1.39467,0.80921,0.92743,0.13008,0.09078,0.09477,0.05009,1.36849,0.78874,0.90994,0.00010572,0.00010572,0.00010572
19,5695.71,1.38384,0.80095,0.92439,0.1325,0.09047,0.09499,0.05052,1.36228,0.78164,0.90987,7.2703e-05,7.2703e-05,7.2703e-05
20,5989.25,1.37805,0.79334,0.92446,0.13125,0.09169,0.09572,0.05097,1.35865,0.77828,0.90809,3.96865e-05,3.96865e-05,3.96865e-05
